"","prov","Direct","Direct_MSE","Direct_CV","FH","FH_MSE","FH_CV","year"
"1",1,0.308857988793466,0.0186285629141032,0.441906955542276,0.439387498340553,0.00319305915087212,0.128604387668969,"2012"
"2",2,0.0533944518655797,0.00226276536326547,0.890889065605266,0.116489585397828,0.000897025578026333,0.257107836474273,"2012"
"3",3,0.194124518722028,0.00545591102122524,0.380498761441565,0.158924754444341,0.000861597004089992,0.184697297564023,"2012"
"4",4,0.421005257692191,0.0205217528511918,0.340266901958617,0.207361475096064,0.00137238333051573,0.17865272443662,"2012"
"5",5,NA,NA,NA,0.0921226187594341,0.00110725663154753,0.361208423711818,"2012"
"6",6,0.153814640385075,0.00645058490369059,0.522157924556112,0.15675123072327,0.000922617715918868,0.19377597708988,"2012"
"7",7,0.136979360099697,0.0033676697162492,0.423652343095724,0.0864616611120998,0.000526678567158039,0.265429535891558,"2012"
"8",8,0.29734352019226,0.00201969820231848,0.151141859418611,0.298578179072811,0.00107085510464353,0.109599176385634,"2012"
"9",9,0.0782966116873313,0.00353189931222034,0.759033928062062,0.126733961482835,0.000847297444221979,0.229680929916354,"2012"
"10",10,0.277495015470234,0.00593621258710466,0.277651188132832,0.261059524911746,0.00126862209929115,0.136435250599431,"2012"
"11",11,0.213052611183959,0.00362423342342415,0.282566855908794,0.159520097079143,0.00087160363459304,0.185073445822969,"2012"
"12",12,0.19322148689335,0.0304880265581751,0.903668694118335,0.165813936162562,0.00134215573764214,0.22094309189328,"2012"
"13",13,0.22591043767193,0.00621031687460895,0.348835425847879,0.276437142417788,0.00214821857275453,0.167665164193578,"2012"
"14",14,0.334165550595753,0.00847703573813527,0.275524568530239,0.32286366278253,0.00168742308827391,0.127230965877295,"2012"
"15",15,0.224256639752841,0.00104161698948631,0.143915879811723,0.221700002711583,0.000656774903506133,0.115595938750706,"2012"
"16",16,0.577027436714705,0.0303410902097948,0.301869424793511,0.329281332709073,0.00273208080852145,0.158737545061469,"2012"
"17",17,0.0673990294553529,0.00237607126781849,0.723229427111072,0.0992488572093593,0.000828181861283395,0.289959500127211,"2012"
"18",18,0.258731110400636,0.0151141006799108,0.47516287681348,0.228985889027766,0.00284576017028954,0.23296486549257,"2012"
"19",19,0.465755438922482,0.0517903661152266,0.488614730184121,0.172269785166018,0.000965444155125761,0.180365913914383,"2012"
"20",20,0.221500336745563,0.00479440671593908,0.312602931007715,0.218404520399493,0.0015715489047428,0.181510739961372,"2012"
"21",21,NA,NA,NA,0.0535823143635395,0.000517730680115827,0.424649368664475,"2012"
"22",22,0.0862124925958771,0.00753087730528032,1.00658993683969,0.204426511900397,0.00136440040387485,0.180689826654426,"2012"
"23",23,0.454126319405237,0.0157467383808444,0.276324016784311,0.318515661015368,0.00200413621539856,0.140550639853738,"2012"
"24",24,0.270404917892307,0.0110705799077913,0.3891083939292,0.212252963068184,0.00143118437371376,0.178235427095291,"2012"
"25",25,0.0749931622303645,0.00538788170607328,0.978785121769822,0.0980842171855827,0.00073058979475357,0.275573638508705,"2012"
"26",26,0.361150214711643,0.00578196103912458,0.210547312868584,0.305256810722961,0.00156119479232284,0.129438414471376,"2012"
"27",27,0.393923165489982,0.0110340180078916,0.266658433215681,0.347775105371118,0.00219774964825143,0.134800225508836,"2012"
"28",28,0.173092647935302,0.000791363600169361,0.162520972904366,0.167075637935776,0.000473642206212241,0.13026029867832,"2012"
"29",29,0.323145833480442,0.00545716971912594,0.228604707697292,0.251192669271112,0.00107589561174067,0.130580433832615,"2012"
"30",30,0.123441765841864,0.00190074242129286,0.35318276972633,0.162326113754138,0.000718323784115987,0.16510937440111,"2012"
"31",31,0.120631261249032,0.00066833394400182,0.214307263576891,0.143020900170808,0.000610298168618343,0.172731492745051,"2012"
"32",32,0.477520778724409,0.0145823524032161,0.252884097949935,0.272529524167746,0.00123539377590191,0.128970132654027,"2012"
"33",33,0.139151171223689,0.000660065969388157,0.184631928188546,0.187993135561602,0.000644470378228734,0.135039085670913,"2012"
"34",34,0.103254816230318,0.00829170355631779,0.881884207263397,0.232309452860168,0.0019094412551575,0.188098905655764,"2012"
"35",35,0.0511903836646114,0.00113462559572529,0.658018196745631,0.0661360159538824,0.000481937182552442,0.331938164231531,"2012"
"36",36,0.126283635640741,0.0013758473483004,0.293723063401678,0.145885732638815,0.000674205283854111,0.17798493944633,"2012"
"37",37,0.17930175561677,0.0103262872550569,0.566744819567355,0.176771311333195,0.00115689856971367,0.192413641314733,"2012"
"38",38,0.160868599901102,0.00363586107117199,0.374828286926111,0.172793600893677,0.000863133665235129,0.170024447733396,"2012"
"39",39,0.222149448653484,0.00250999083796136,0.225522993936716,0.224069745740261,0.00109917632756442,0.147962091622289,"2012"
"40",40,0.306881029042175,0.0387036500835024,0.641070688966823,0.290506352843165,0.00176904739435521,0.144781842788616,"2012"
"41",41,0.274362713054026,0.00272422889339063,0.190237753443946,0.206828232056005,0.000787459151857391,0.135676364411474,"2012"
"42",42,NA,NA,NA,0.0206876182542401,0.000316595023110762,0.860085345609888,"2012"
"43",43,0.355352405779979,0.0254798458109478,0.449199369253444,0.318806728160556,0.0023014400765594,0.150477773780185,"2012"
"44",44,0.487747784197624,0.0502496935170133,0.459590881529934,0.354536019081991,0.00254304430049185,0.142238315036887,"2012"
"45",45,0.107513499328937,0.00126705319960369,0.331081129039943,0.124891520654737,0.000879651840326278,0.237477492325005,"2012"
"46",46,0.17956579163624,0.00377647754500578,0.342231396033983,0.167365276145313,0.00108487826537567,0.196800023457425,"2012"
"47",47,0.26522881729424,0.00780052344370099,0.332997646828052,0.11852123048658,0.000783403868558407,0.236154760260503,"2012"
"48",48,0.16861196491034,0.00213381527198545,0.273961805759543,0.195464570520714,0.000901401353328776,0.153599942558781,"2012"
"49",49,0.147739547607825,0.0158555573687314,0.852302950397941,0.248513993789325,0.00154431705748363,0.15813113399662,"2012"
"50",50,0.0467577298837029,0.000738408049002447,0.581158766472104,0.0542267501070159,0.000367275720267913,0.353413009486457,"2012"
"51",51,0.22519592049499,0.00845564643360195,0.408331504287917,0.182084499545571,0.00106112099241453,0.178899644003399,"2012"
"52",52,0.148617916671695,0.00440735712272408,0.446702056727456,0.190803215137912,0.00103130980086824,0.168309598495019,"2012"
